Paula painted a cake in a closet .	N V Det N P Det N	prim_to_subj_proper
Zoe thought that a hippo cleaned .	N V C Det N V	only_seen_as_unacc_subj_as_obj_omitted_transitive_subj
The princess teleported a cookie to the goose .	Det N V Det N P Det N	do_dative_to_pp_dative
A cockroach gave a pretzel to Olivia .	Det N V Det N P N	obj_to_subj_common
The girl hoped that the hippo painted .	Det N V C Det N V	only_seen_as_unacc_subj_as_obj_omitted_transitive_subj
Emma declared that a cobra grew .	N V C Det N V	only_seen_as_transitive_subj_as_unacc_subj
William tolerated that Charlie fed the cake on the stage to the boy .	N V C N V Det N P Det N P Det N	obj_to_subj_proper
Paula promised a chair beside the computer to Emma .	N V Det N P Det N P N	prim_to_subj_proper
The queen froze the strawberry in the cabinet beside the shoe on the chair in the box on a road on a rock on a bench in a cage beside the bed on a vessel on the table beside the book .	Det N V Det N P Det N P Det N P Det N P Det N P Det N P Det N P Det N P Det N P Det N P Det N P Det N P Det N	pp_recursion
Charlie loaned the cake in a house to the girl .	N V Det N P Det N P Det N	obj_to_subj_proper
A girl valued that Samuel admired that a monkey liked that Luna liked that Oliver respected that Savannah hoped that a penguin noticed that Emma noticed that the lawyer noticed that a cake grew .	Det N V C N V C Det N V C N V C N V C N V C Det N V C N V C Det N V C Det N V	cp_recursion
James rolled Paula .	N V N	prim_to_obj_proper
Jaxon squeezed the cookie in the bucket .	N V Det N P Det N	passive_to_active
A shark gave the plate in a bottle to the girl .	Det N V Det N P Det N P Det N	prim_to_subj_common
The cockroach loaned Liam the donut .	Det N V N Det N	obj_to_subj_common
The girl shipped the cat the brush beside a machine .	Det N V Det N Det N P Det N	pp_dative_to_do_dative
The baby on a tray in the house screamed .	Det N P Det N P Det N V	obj_pp_to_subj_pp
Noah shipped Olivia a chair on a bed .	N V N Det N P Det N	pp_dative_to_do_dative
The governor teleported a cake in a cabinet to Logan .	Det N V Det N P Det N P N	do_dative_to_pp_dative
A poet baked the cake .	Det N V Det N	obj_omitted_transitive_to_transitive
The spokesman in the house served Emma the rose .	Det N P Det N V N Det N	obj_pp_to_subj_pp
A donkey in the room sold Ella a donut .	Det N P Det N V N Det N	obj_pp_to_subj_pp
Emma supported that the hippo smirked .	N V C Det N V	only_seen_as_unacc_subj_as_unerg_subj
The boy needed to crawl .	Det N V INF V	prim_to_inf_arg
Charlie gave a spoon to Liam .	N V Det N P N	obj_to_subj_proper
Emma wired Paula to Sophia .	N V N P N	prim_to_obj_proper
The crocodile shipped the boy a raisin .	Det N V Det N Det N	pp_dative_to_do_dative
The teacher teleported the cake on the dog to a bear .	Det N V Det N P Det N P Det N	do_dative_to_pp_dative
A prisoner attempted to crawl .	Det N V INF V	prim_to_inf_arg
The frog yearned to crawl .	Det N V INF V	prim_to_inf_arg
The dog liked that the hippo danced .	Det N V C Det N V	only_seen_as_unacc_subj_as_unerg_subj
Grace shipped Emma the cake on the table .	N V N Det N P Det N	pp_dative_to_do_dative
The bee hoped that the girl said that Olivia said that Liam liked that Lincoln liked that James liked that the boy liked that the writer appreciated that a giraffe declared that Emma meant that a professor liked that a bean slid .	Det N V C Det N V C N V C N V C N V C N V C Det N V C Det N V C Det N V C N V C Det N V C Det N V	cp_recursion
Emma liked that Caleb shipped Liam a box .	N V C N V N Det N	pp_dative_to_do_dative
The cat shipped Emma the donut .	Det N V N Det N	pp_dative_to_do_dative
Aria baked a girl in the box .	N V Det N P Det N	obj_omitted_transitive_to_transitive
The customer admired the shark .	Det N V Det N	prim_to_obj_common
Noah liked that a cookie was blessed .	N V C Det N AUX V	active_to_passive
Aiden liked that Liam liked that Avery appreciated that the dog expected that a cat liked that Emma appreciated that a donut was loved .	N V C N V C N V C Det N V C Det N V C N V C Det N AUX V	cp_recursion
The shark loved to sneeze .	Det N V INF V	prim_to_subj_common
Emma declared that a cobra burned .	N V C Det N V	only_seen_as_transitive_subj_as_unacc_subj
Jackson proved that Liam noticed that Emma liked that James liked that a teacher liked that the princess wished that the dog supported that Anthony hoped that a girl said that a giraffe liked that a pen was collapsed .	N V C N V C N V C N V C Det N V C Det N V C Det N V C N V C Det N V C Det N V C Det N AUX V	cp_recursion
A cat in the house was offered the cake by the boy beside a table .	Det N P Det N AUX V Det N BY Det N P Det N	obj_pp_to_subj_pp
The cat shattered the cake .	Det N V Det N	unacc_to_transitive
A politician ate the cake in a cup in the garden beside a bed in a house in a trailer in the car on the tree in the pod in a bag on a glacier in a condo .	Det N V Det N P Det N P Det N P Det N P Det N P Det N P Det N P Det N P Det N P Det N P Det N P Det N	pp_recursion
A shark burned Sophia .	Det N V N	prim_to_subj_common
The girl shipped a journalist the rose beside a road .	Det N V Det N Det N P Det N	pp_dative_to_do_dative
The girl juggled the shark .	Det N V Det N	prim_to_obj_common
Grayson hoped that a cobra changed .	N V C Det N V	only_seen_as_transitive_subj_as_unacc_subj
The mouse sold the bird Lina .	Det N V Det N N	subj_to_obj_proper
Olivia wished that a hippo dusted .	N V C Det N V	only_seen_as_unacc_subj_as_obj_omitted_transitive_subj
A cockroach cleaned the lollipop beside the stage .	Det N V Det N P Det N	obj_to_subj_common
A giraffe liked a shark .	Det N V Det N	prim_to_obj_common
Emma squeezed a bottle beside a chair .	N V Det N P Det N	passive_to_active
Paula painted a donut .	N V Det N	prim_to_subj_proper
Olivia baked Noah .	N V N	obj_omitted_transitive_to_transitive
The shark lended a cake in a bag to a girl .	Det N V Det N P Det N P Det N	prim_to_subj_common
The butterfly squeezed Liam .	Det N V N	passive_to_active
The donut on the mound was slid by a child on the computer .	Det N P Det N AUX V BY Det N P Det N	obj_pp_to_subj_pp
A sailor changed Lina .	Det N V N	subj_to_obj_proper
Emma admired that a hippo painted .	N V C Det N V	only_seen_as_unacc_subj_as_obj_omitted_transitive_subj
A monkey liked that a cobra rolled .	Det N V C Det N V	only_seen_as_transitive_subj_as_unacc_subj
Paula gave the boy the bat .	N V Det N Det N	prim_to_subj_proper
Emma drew Lina .	N V N	subj_to_obj_proper
The zebra sold Ethan a cake in a cupboard in a castle on the road in the hole beside the trainee on the table in a house in a room in the box beside a sailor in a microwave .	Det N V N Det N P Det N P Det N P Det N P Det N P Det N P Det N P Det N P Det N P Det N P Det N P Det N	pp_recursion
A teacher baked the chicken .	Det N V Det N	obj_omitted_transitive_to_transitive
Emma shipped the baby a cake on the bed .	N V Det N Det N P Det N	pp_dative_to_do_dative
Emma teleported the cake to Olivia .	N V Det N P N	do_dative_to_pp_dative
Paula hunted the mouse in a house .	N V Det N P Det N	prim_to_subj_proper
Charlie slid the cake in the glass .	N V Det N P Det N	obj_to_subj_proper
Mason liked that Emma baked the cake beside a book .	N V C N V Det N P Det N	obj_omitted_transitive_to_transitive
Liam liked that a tourist teleported a game to Ryan .	N V C Det N V Det N P N	do_dative_to_pp_dative
The girl shattered a drink in a coffin .	Det N V Det N P Det N	unacc_to_transitive
A ball was blessed .	Det N AUX V	active_to_passive
A boy baked a girl .	Det N V Det N	obj_omitted_transitive_to_transitive
The dog in a bakery in the bag sneezed .	Det N P Det N P Det N V	obj_pp_to_subj_pp
A girl on the stool on the table drew a frog .	Det N P Det N P Det N V Det N	obj_pp_to_subj_pp
The teacher thought that a cobra rolled .	Det N V C Det N V	only_seen_as_transitive_subj_as_unacc_subj
A hero painted the hedgehog beside a house .	Det N V Det N P Det N	subj_to_obj_common
A cat shipped a captain the chalk on the podium .	Det N V Det N Det N P Det N	pp_dative_to_do_dative
A donut on a table grew .	Det N P Det N V	obj_pp_to_subj_pp
Camila wished that Emma noticed that a butterfly admired that the professor believed that Mia liked that Liam appreciated that the giraffe liked that William proved that Zoe noticed that the zebra thought that Leo liked that Ava confessed that the plate burned .	N V C N V C Det N V C Det N V C N V C N V C Det N V C N V C N V C Det N V C N V C N V C Det N V	cp_recursion
Hannah tossed a shark .	N V Det N	prim_to_obj_common
A shark investigated .	Det N V	prim_to_subj_common
The cockroach ate Emma .	Det N V N	obj_to_subj_common
Liam burned a hedgehog .	N V Det N	subj_to_obj_common
The manager said that a cockroach froze Emma .	Det N V C Det N V N	obj_to_subj_common
The cockroach rented the cat a cookie in a room .	Det N V Det N Det N P Det N	obj_to_subj_common
Paula juggled a cake .	N V Det N	prim_to_subj_proper
James valued that a cow liked that Liam said that Amelia said that a cat valued that a giraffe thought that Andrew thought that Emma liked that a bee expected that the girl hoped that the child confessed that a cake was found .	N V C Det N V C N V C N V C Det N V C Det N V C N V C N V C Det N V C Det N V C Det N V C Det N AUX V	cp_recursion
A cat admired that a hippo talked .	Det N V C Det N V	only_seen_as_unacc_subj_as_unerg_subj
The cockroach attempted to paint .	Det N V INF V	obj_to_subj_common
A girl liked that a hippo slept .	Det N V C Det N V	only_seen_as_unacc_subj_as_unerg_subj
The boy teleported a leaf to Emma .	Det N V Det N P N	do_dative_to_pp_dative
Joseph shipped the teacher the donut .	N V Det N Det N	pp_dative_to_do_dative
Liam shipped Emma the balloon on the stage .	N V N Det N P Det N	pp_dative_to_do_dative
A cookie was blessed by Emma .	Det N AUX V BY N	active_to_passive
A shark slid a resident .	Det N V Det N	prim_to_subj_common
Luna hoped that the hippo ate .	N V C Det N V	only_seen_as_unacc_subj_as_obj_omitted_transitive_subj
Sebastian squeezed a child .	N V Det N	passive_to_active
A dog fed the girl the hedgehog .	Det N V Det N Det N	subj_to_obj_common
Charlie gave William the purse on the stage .	N V N Det N P Det N	obj_to_subj_proper
The cockroach passed a cookie in a house to Emma .	Det N V Det N P Det N P N	obj_to_subj_common
Paula liked the girl beside the stage .	N V Det N P Det N	prim_to_subj_proper
Luke shattered the cookie in the cabinet .	N V Det N P Det N	unacc_to_transitive
Sophia squeezed the donut .	N V Det N	passive_to_active
Emma admired the book in a cubicle in a room beside the truck .	N V Det N P Det N P Det N P Det N	pp_recursion
A president floated Lina .	Det N V N	subj_to_obj_proper
The cake in the house was painted .	Det N P Det N AUX V	obj_pp_to_subj_pp
The sailor in a house lended a biscuit on a table to a goose .	Det N P Det N V Det N P Det N P Det N	obj_pp_to_subj_pp
Ava expected that Noah rolled Paula .	N V C N V N	prim_to_obj_proper
Paula preferred to sneeze .	N V INF V	prim_to_subj_proper
Ava baked the girl .	N V Det N	obj_omitted_transitive_to_transitive
The bear liked that a cobra split .	Det N V C Det N V	only_seen_as_transitive_subj_as_unacc_subj
The cockroach wired the cake beside the table to a bear .	Det N V Det N P Det N P Det N	obj_to_subj_common
The frog squeezed a cake beside a table .	Det N V Det N P Det N	passive_to_active
Emma noticed that the shark sent a boy the lollipop .	N V C Det N V Det N Det N	prim_to_subj_common
A cockroach inflated a boy .	Det N V Det N	obj_to_subj_common
Amelia admired that a spokesman liked that Madison confessed that Jayden hoped that a girl believed that Aiden proved that a bird hoped that a bear liked that Lucas imagined that Noah hoped that a boy liked that Ava ate .	N V C Det N V C N V C N V C Det N V C N V C Det N V C Det N V C N V C N V C Det N V C N V	cp_recursion
The shark loved to walk .	Det N V INF V	prim_to_subj_common
Emma offered Paula to the dog .	N V N P Det N	prim_to_obj_proper
The baby believed that a girl teleported the cake beside the table to Liam .	Det N V C Det N V Det N P Det N P N	do_dative_to_pp_dative
Charlie liked a fruit beside the book .	N V Det N P Det N	obj_to_subj_proper
Noah burned a shark in a corner .	N V Det N P Det N	prim_to_obj_common
