Emma liked that the girl reddens a chemical in a house and noticed .	What is the ccomp of liked ?	that the girl reddens a chemical in a house	cogs_qa	( ( ( Emma ) ) ( ( ( liked ) ( ( that ) ( ( ( the ) ( girl ) ) ( ( reddens ) ( ( a ) ( chemical ) ( ( in ) ( ( a ) ( house ) ) ) ) ) ) ) ) ( and ) ( ( noticed ) ) ) )
The cat dreams that a queen slept and changes Savannah .	What is the ccomp of dreams ?	that a queen slept	cogs_qa	( ( ( The ) ( cat ) ) ( ( ( dreams ) ( ( that ) ( ( ( a ) ( queen ) ) ( ( slept ) ) ) ) ) ( and ) ( ( changes ) ( ( Savannah ) ) ) ) )
The girl likes that a father laughed and changes Liam .	What is the ccomp of likes ?	that a father laughed	cogs_qa	( ( ( The ) ( girl ) ) ( ( ( likes ) ( ( that ) ( ( ( a ) ( father ) ) ( ( laughed ) ) ) ) ) ( and ) ( ( changes ) ( ( Liam ) ) ) ) )
Logan liked that Noah respects a strawberry and nurses .	What is the ccomp of liked ?	that Noah respects a strawberry and nurses	cogs_qa	( ( ( Logan ) ) ( ( liked ) ( ( that ) ( ( ( Noah ) ) ( ( ( respects ) ( ( a ) ( strawberry ) ) ) ( and ) ( ( nurses ) ) ) ) ) ) )
Julian declared that the boy smiles and found Isabella .	What is the ccomp of declared ?	that the boy smiles	cogs_qa	( ( ( Julian ) ) ( ( ( declared ) ( ( that ) ( ( ( the ) ( boy ) ) ( ( smiles ) ) ) ) ) ( and ) ( ( found ) ( ( Isabella ) ) ) ) )
Liam proved that Isabella sleeps and likes the towel beside the table .	What is the ccomp of proved ?	that Isabella sleeps and likes the towel beside the table	cogs_qa	( ( ( Liam ) ) ( ( proved ) ( ( that ) ( ( ( Isabella ) ) ( ( ( sleeps ) ) ( and ) ( ( likes ) ( ( the ) ( towel ) ( ( beside ) ( ( the ) ( table ) ) ) ) ) ) ) ) ) )
Ava liked that Logan eats and smiled .	What is the ccomp of liked ?	that Logan eats	cogs_qa	( ( ( Ava ) ) ( ( ( liked ) ( ( that ) ( ( ( Logan ) ) ( ( eats ) ) ) ) ) ( and ) ( ( smiled ) ) ) )
A dog respected that Elizabeth eats and slides the cake .	What is the ccomp of respected ?	that Elizabeth eats and slides the cake	cogs_qa	( ( ( A ) ( dog ) ) ( ( respected ) ( ( that ) ( ( ( Elizabeth ) ) ( ( ( eats ) ) ( and ) ( ( slides ) ( ( the ) ( cake ) ) ) ) ) ) ) )
Violet likes that a turkey slept and notices .	What is the ccomp of likes ?	that a turkey slept	cogs_qa	( ( ( Violet ) ) ( ( ( likes ) ( ( that ) ( ( ( a ) ( turkey ) ) ( ( slept ) ) ) ) ) ( and ) ( ( notices ) ) ) )
The girl liked that a cat eats and split Olivia .	What is the ccomp of liked ?	that a cat eats	cogs_qa	( ( ( The ) ( girl ) ) ( ( ( liked ) ( ( that ) ( ( ( a ) ( cat ) ) ( ( eats ) ) ) ) ) ( and ) ( ( split ) ( ( Olivia ) ) ) ) )
