A rose was helped by a dog .	Det N AUX V BY Det N	in_distribution
The sailor dusted a boy .	Det N V Det N	in_distribution
Emma rolled a teacher .	N V Det N	in_distribution
Evelyn rolled the girl .	N V Det N	in_distribution
A cake was forwarded to Levi by Charlotte .	Det N AUX V P N BY N	in_distribution
The captain ate .	Det N V	in_distribution
The girl needed to cook .	Det N V INF V	in_distribution
A cake rolled .	Det N V	in_distribution
The cookie was passed to Emma .	Det N AUX V P N	in_distribution
Emma ate the ring beside a bed .	N V Det N P Det N	in_distribution
A horse gave the cake beside a table to the mouse .	Det N V Det N P Det N P Det N	in_distribution
Amelia gave Emma a strawberry .	N V N Det N	in_distribution
A cat disintegrated a girl .	Det N V Det N	in_distribution
Eleanor sold Evelyn the cake .	N V N Det N	in_distribution
The book was lended to Benjamin by a cat .	Det N AUX V P N BY Det N	in_distribution
The cake was frozen by the giraffe .	Det N AUX V BY Det N	in_distribution
The donut was studied .	Det N AUX V	in_distribution
Isabella forwarded a box on a tree to Emma .	N V Det N P Det N P N	in_distribution
A cake was stabbed by Scarlett .	Det N AUX V BY N	in_distribution
A pencil was fed to Liam by the deer .	Det N AUX V P N BY Det N	in_distribution
The cake was eaten by Olivia .	Det N AUX V BY N	in_distribution
The pen was offered to the girl by Emma .	Det N AUX V P Det N BY N	in_distribution
Oliver crumpled .	N V	in_distribution
A butterfly cleaned .	Det N V	in_distribution
The melon was lended to a girl .	Det N AUX V P Det N	in_distribution
A bottle was rolled by Olivia .	Det N AUX V BY N	in_distribution
The priest ate .	Det N V	in_distribution
The cat knew the boy .	Det N V Det N	in_distribution
Olivia was slipped a pencil .	N AUX V Det N	in_distribution
Oliver awarded Isabella the donut .	N V N Det N	in_distribution
The cake was liked by a lawyer .	Det N AUX V BY Det N	in_distribution
A girl was awarded a cake in a soup .	Det N AUX V Det N P Det N	in_distribution
The girl drew a bat .	Det N V Det N	in_distribution
A squirrel valued a cookie on a seat .	Det N V Det N P Det N	in_distribution
The bat was drawn by Emma .	Det N AUX V BY N	in_distribution
A drink was eaten by a child .	Det N AUX V BY Det N	in_distribution
Amelia dusted the girl beside a stage .	N V Det N P Det N	in_distribution
Mia respected a cake .	N V Det N	in_distribution
The cookie was sold to Charlotte .	Det N AUX V P N	in_distribution
A penny rolled .	Det N V	in_distribution
Charlotte was passed a cake .	N AUX V Det N	in_distribution
A girl offered a rose to Isabella .	Det N V Det N P N	in_distribution
The crayon was nursed .	Det N AUX V	in_distribution
A cookie was lended to a frog by a girl .	Det N AUX V P Det N BY Det N	in_distribution
Liam meant that Sophia rolled a teacher on a seat .	N V C N V Det N P Det N	in_distribution
The dog sold the girl a cake .	Det N V Det N Det N	in_distribution
A citizen passed the dog the cake .	Det N V Det N Det N	in_distribution
A sandwich was given to the cat by the giraffe .	Det N AUX V P Det N BY Det N	in_distribution
The box was missed by Emma .	Det N AUX V BY N	in_distribution
Liam hoped that the dog preferred to run .	N V C Det N V INF V	in_distribution
A visitor was posted a rose by a turtle .	Det N AUX V Det N BY Det N	in_distribution
The penny was painted .	Det N AUX V	in_distribution
David expected to cook .	N V INF V	in_distribution
Camila was forwarded the cookie in a house beside the computer by Olivia .	N AUX V Det N P Det N P Det N BY N	in_distribution
James investigated .	N V	in_distribution
The child appreciated that Emma valued that a cookie was slid .	Det N V C N V C Det N AUX V	in_distribution
Emma liked that a girl saw .	N V C Det N V	in_distribution
The pen was helped .	Det N AUX V	in_distribution
Emma liked that the melon was rolled .	N V C Det N AUX V	in_distribution
The sailor laughed .	Det N V	in_distribution
The teacher hunted Emma .	Det N V N	in_distribution
A game was changed by the boy .	Det N AUX V BY Det N	in_distribution
Liam gave the monkey a chalk in the container .	N V Det N Det N P Det N	in_distribution
The boy was lended a present by the baby .	Det N AUX V Det N BY Det N	in_distribution
Isabella liked a cat .	N V Det N	in_distribution
A donut was offered to the turtle .	Det N AUX V P Det N	in_distribution
Michael respected a cake on a chair .	N V Det N P Det N	in_distribution
touch	V	primitive
Chloe was handed the raisin on the table by Emma .	N AUX V Det N P Det N BY N	in_distribution
A cake was rented to a bee .	Det N AUX V P Det N	in_distribution
A bee hunted the cake on the seat in the sack .	Det N V Det N P Det N P Det N	in_distribution
A brain was valued by Emma .	Det N AUX V BY N	in_distribution
A box was inflated .	Det N AUX V	in_distribution
Olivia liked the donut .	N V Det N	in_distribution
A monster ate .	Det N V	in_distribution
The coach ate .	Det N V	in_distribution
Dylan offered a flag beside a trophy to Liam .	N V Det N P Det N P N	in_distribution
The donut was thrown .	Det N AUX V	in_distribution
A cake was given to Ethan .	Det N AUX V P N	in_distribution
Olivia was handed a cake in a garden .	N AUX V Det N P Det N	in_distribution
The butterfly lended a donut beside the table to Matthew .	Det N V Det N P Det N P N	in_distribution
A muffin was fed to the monkey by Elizabeth .	Det N AUX V P Det N BY N	in_distribution
A bat was cooked .	Det N AUX V	in_distribution
Ella decomposed a cookie in the stadium .	N V Det N P Det N	in_distribution
The frog believed that a cake was given to Emma by Ava .	Det N V C Det N AUX V P N BY N	in_distribution
Liam was given the strawberry in a cabinet .	N AUX V Det N P Det N	in_distribution
Evelyn preferred to eat .	N V INF V	in_distribution
The lion smiled .	Det N V	in_distribution
Olivia nursed .	N V	in_distribution
The girl posted Emma the rose .	Det N V N Det N	in_distribution
The girl loved a cake beside a house .	Det N V Det N P Det N	in_distribution
Emma passed a cake to the girl .	N V Det N P Det N	in_distribution
The priest changed .	Det N V	in_distribution
A lion supported that the boy dusted .	Det N V C Det N V	in_distribution
The child dreamed to talk .	Det N V INF V	in_distribution
The box was drawn by the child .	Det N AUX V BY Det N	in_distribution
Camila gave a cake in a storage to Emma .	N V Det N P Det N P N	in_distribution
The cookie was liked by a scientist .	Det N AUX V BY Det N	in_distribution
The balloon was handed to a donkey by Ava .	Det N AUX V P Det N BY N	in_distribution
A cracker was poked .	Det N AUX V	in_distribution
The girl offered a cake in the cup beside a torch to Alexander .	Det N V Det N P Det N P Det N P N	in_distribution
A frog ate a sweetcorn in a pile .	Det N V Det N P Det N	in_distribution
A donut was eaten by a boy .	Det N AUX V BY Det N	in_distribution
The cake was loved by Aubrey .	Det N AUX V BY N	in_distribution
Liam forwarded the girl the donut .	N V Det N Det N	in_distribution
A girl helped the cake on the rack .	Det N V Det N P Det N	in_distribution
A girl was sold the cake .	Det N AUX V Det N	in_distribution
Emma floated Alexander .	N V N	in_distribution
A girl sold the cookie to Charlotte .	Det N V Det N P N	in_distribution
The fig was liked .	Det N AUX V	in_distribution
Hazel cried .	N V	in_distribution
The jacket was held .	Det N AUX V	in_distribution
The girl changed a sandwich beside the table .	Det N V Det N P Det N	in_distribution
Emma gave a landlord the box in a house .	N V Det N Det N P Det N	in_distribution
The balloon was painted by a boy .	Det N AUX V BY Det N	in_distribution
A girl liked the raisin .	Det N V Det N	in_distribution
The pancake was passed to Charlotte by Noah .	Det N AUX V P N BY N	in_distribution
The monkey posted a pen to the spokesman .	Det N V Det N P Det N	in_distribution
The pretzel was doubled .	Det N AUX V	in_distribution
The cake was lended to a dog by Emma .	Det N AUX V P Det N BY N	in_distribution
A rose was given to a pig .	Det N AUX V P Det N	in_distribution
A baby liked the strawberry beside the tree .	Det N V Det N P Det N	in_distribution
The donut was painted by Elizabeth .	Det N AUX V BY N	in_distribution
The girl adored a donut .	Det N V Det N	in_distribution
